Company Name,Stock Symbol,Sector,Subsector,Listing Date,,,,
"Unioil Resources & Holdings Company, Inc.",UNI,Holding Firms,Holding Firms,27 July 1987,,,,
"Union Bank of the Philippines, Inc.",UBP,Financials,Banks,29 June 1992,,,,
United Paragon Mining Corporation,UPM,Mining and Oil,Mining,2 April 1973,,,,
Universal Robina Corporation,URC,Industrial,"Food, Beverage & Tobacco",25 March 1994,,,,
"Uniwide Holdings, Inc.",UW,Property,Property,19 August 1996,,,,
"Vantage Equities, Inc.",V,Financials,Other Financial Institutions,30 March 1993,,,,
"Victorias Milling Company, Inc.",VMC,Industrial,"Food, Beverage & Tobacco",15 November 1993,,,,
"Vista Land & Lifescapes, Inc.",VLL,Property,Property,25 June 2007,,,,
Vitarich Corporation,VITA,Industrial,"Food, Beverage & Tobacco",8 February 1995,,,,
Vivant Corporation,VVT,Industrial,"Electricity, Energy, Power & Water",23 June 1994,,,,
Vulcan Industrial & Mining Corporation,VUL,Industrial,"Construction, Infra. & Allied Services",31 August 1970,,,,
"Waterfront Philippines, Incorporated",WPI,Services,Hotel & Leisure,17 March 1995,,,,
"Wellex Industries, Incorporated",WIN,Holding Firms,Holding Firms,9 January 1958,,,,
Xurpas Inc.,X,"Small, Medium & Emerging Board","Small, Medium & Emerging Board",2 December 2014,,,,
YEHEY! Corporation,YEHEY,Services,Information Technology,18 October 2012,,,,
"Zeus Holdings, Inc.",ZHI,Holding Firms,Holding Firms,15 July 1991,,,,
"iPeople, inc.",IPO,Services,Education,24 January 1990,,,,
Phinma Corporation,PHN,Industrial,"Construction, Infra. & Allied Services",18 August 1958,,,,
"Phoenix Petroleum Philippines, Inc.",PNX,Industrial,"Electricity, Energy, Power & Water",11 July 2007,,,,
Phoenix Semiconductor Philippines Corp.,PSPC,Industrial,Electrical Components & Equipment,1 December 2014,,,,
Premiere Horizon Alliance Corporation,PHA,Services,Other Services,5 May 1997,,,,
Premium Leisure Corp.,PLC,Services,Casinos & Gaming,28 August 1995,,,,
"Prime Media Holdings, Inc.",PRIM,Holding Firms,Holding Firms,29 July 1964,,,,
"Prime Orion Philippines, Inc.",POPI,Holding Firms,Holding Firms,28 February 1990,,,,
"Primetown Property Group, Inc.",PMT,Property,Property,8 December 1995,,,,
Primex Corporation,PRMX,Property,Property,10 August 2001,,,,
Pryce Corporation,PPC,Industrial,Chemicals,29 October 1991,,,,
"Puregold Price Club, Inc.",PGOLD,Services,Retail,5 October 2011,,,,
RFM Corporation,RFM,Industrial,"Food, Beverage & Tobacco",21 February 1966,,,,
Republic Glass Holdings Corporation,REG,Holding Firms,Holding Firms,17 July 1959,,,,
Rizal Commercial Banking Corporation,RCB,Financials,Banks,6 November 1986,,,,
Robinsons Land Corporation,RLC,Property,Property,16 October 1989,,,,
"Robinsons Retail Holdings, Inc.",RRHI,Services,Retail,21 November 2013,,,,
Rockwell Land Corporation,ROCK,Property,Property,11 May 2012,,,,
"Roxas Holdings, Inc.",ROX,Industrial,"Food, Beverage & Tobacco",8 August 1996,,,,
"Roxas and Company, Inc.",RCI,Industrial,"Food, Beverage & Tobacco",29 November 1948,,,,
SBS Philippines Corporation,SBS,Services,Other Services,10 August 2015,,,,
SM Investments Corporation,SM,Holding Firms,Holding Firms,22 March 2005,,,,
"SM Prime Holdings, Inc.",SMPH,Property,Property,5 July 1994,,,,
"SOCResources, Inc.",SOC,Holding Firms,Holding Firms,5 January 1994,,,,
SPC Power Corporation,SPC,Industrial,"Electricity, Energy, Power & Water",2 April 2002,,,,
